user_id,date_res,weekday,time_res,wt_yes,hbefore_bt_yes,bt_yes,wt_today,sleep_qual
23,2020-06-05,vr,2020-06-05T07:35:43Z,2020-06-04T07:00:00Z,2020-06-04T20:34:00Z,2020-06-04T21:34:00Z,2020-06-05T07:34:00Z,4
23,2020-06-06,za,2020-06-06T10:48:34Z,2020-06-05T07:34:00Z,2020-06-05T22:48:00Z,2020-06-05T23:48:00Z,2020-06-06T10:48:00Z,4
23,2020-06-07,zo,2020-06-07T10:49:37Z,2020-06-06T10:48:00Z,2020-06-06T22:00:00Z,2020-06-06T23:00:00Z,2020-06-07T06:35:00Z,4
23,2020-06-08,ma,2020-06-08T07:58:18Z,2020-06-07T06:35:00Z,2020-06-07T21:46:00Z,2020-06-07T22:46:00Z,2020-06-08T07:58:00Z,4
23,2020-06-09,di,2020-06-09T07:49:02Z,2020-06-08T07:58:00Z,2020-06-08T20:22:00Z,2020-06-08T21:22:00Z,2020-06-09T07:45:00Z,6
23,2020-06-10,wo,2020-06-10T07:56:25Z,2020-06-09T07:45:00Z,2020-06-09T20:55:00Z,2020-06-09T21:55:00Z,2020-06-10T07:51:00Z,5
23,2020-06-11,do,2020-06-11T07:54:23Z,2020-06-10T07:51:00Z,2020-06-10T20:42:00Z,2020-06-10T21:42:00Z,2020-06-11T07:44:00Z,4
23,2020-06-12,vr,2020-06-12T07:17:30Z,2020-06-11T07:44:00Z,2020-06-11T20:45:00Z,2020-06-11T21:45:00Z,2020-06-12T06:50:00Z,6
23,2020-06-15,ma,2020-06-15T07:58:24Z,2020-06-14T05:10:00Z,2020-06-14T20:37:00Z,2020-06-14T21:37:00Z,2020-06-15T07:57:00Z,3
23,2020-06-16,di,2020-06-16T08:17:43Z,2020-06-15T07:57:00Z,2020-06-15T21:08:00Z,2020-06-15T22:08:00Z,2020-06-16T08:09:00Z,6
23,2020-06-17,wo,2020-06-17T07:18:01Z,2020-06-16T08:09:00Z,2020-06-16T20:41:00Z,2020-06-16T21:41:00Z,2020-06-17T07:08:00Z,6
23,2020-06-18,do,2020-06-18T07:48:21Z,2020-06-17T07:08:00Z,2020-06-17T20:36:00Z,2020-06-17T21:36:00Z,2020-06-18T07:10:00Z,4
23,2020-06-19,vr,2020-06-19T07:48:56Z,2020-06-18T07:10:00Z,2020-06-18T20:36:00Z,2020-06-18T21:36:00Z,2020-06-19T07:10:00Z,3
23,2020-06-21,zo,2020-06-21T10:53:43Z,2020-06-20T05:10:00Z,2020-06-20T22:06:00Z,2020-06-20T23:06:00Z,2020-06-21T06:00:00Z,2
23,2020-06-22,ma,2020-06-22T07:33:27Z,2020-06-21T06:00:00Z,2020-06-21T20:33:00Z,2020-06-21T21:33:00Z,2020-06-22T07:33:00Z,3
24,2020-06-03,wo,2020-06-03T07:53:19Z,2020-06-02T07:06:00Z,2020-06-02T21:30:00Z,2020-06-02T22:30:00Z,2020-06-03T07:50:00Z,7
24,2020-06-04,do,2020-06-04T07:04:35Z,2020-06-03T07:50:00Z,2020-06-03T21:00:00Z,2020-06-03T22:00:00Z,2020-06-04T07:00:00Z,7
24,2020-06-06,za,2020-06-06T10:35:59Z,2020-06-05T07:06:00Z,2020-06-05T23:30:00Z,2020-06-06T00:30:00Z,2020-06-06T10:10:00Z,7
24,2020-06-07,zo,2020-06-07T10:39:20Z,2020-06-06T10:10:00Z,2020-06-06T23:00:00Z,2020-06-07T00:00:00Z,2020-06-07T10:30:00Z,7
24,2020-06-08,ma,2020-06-08T08:02:57Z,2020-06-07T10:30:00Z,2020-06-07T23:00:00Z,2020-06-08T00:00:00Z,2020-06-08T08:01:00Z,6
24,2020-06-09,di,2020-06-09T07:33:03Z,2020-06-08T08:01:00Z,2020-06-08T23:00:00Z,2020-06-09T00:00:00Z,2020-06-09T07:30:00Z,6
24,2020-06-10,wo,2020-06-10T07:47:53Z,2020-06-09T07:30:00Z,2020-06-09T21:30:00Z,2020-06-09T22:30:00Z,2020-06-10T07:45:00Z,6
24,2020-06-11,do,2020-06-11T07:47:50Z,2020-06-10T07:45:00Z,2020-06-10T22:40:00Z,2020-06-10T23:40:00Z,2020-06-11T07:45:00Z,6
24,2020-06-13,za,2020-06-13T10:55:40Z,2020-06-12T07:06:00Z,2020-06-12T22:30:00Z,2020-06-12T23:30:00Z,2020-06-13T08:30:00Z,6
24,2020-06-15,ma,2020-06-15T07:48:16Z,2020-06-14T08:35:00Z,2020-06-14T21:45:00Z,2020-06-14T22:45:00Z,2020-06-15T07:45:00Z,6
24,2020-06-16,di,2020-06-16T07:47:42Z,2020-06-15T07:45:00Z,2020-06-15T21:40:00Z,2020-06-15T22:40:00Z,2020-06-16T07:45:00Z,6
24,2020-06-17,wo,2020-06-17T07:17:51Z,2020-06-16T07:45:00Z,2020-06-16T21:35:00Z,2020-06-16T22:35:00Z,2020-06-17T06:45:00Z,6
24,2020-06-18,do,2020-06-18T07:47:38Z,2020-06-17T06:45:00Z,2020-06-17T21:33:00Z,2020-06-17T22:33:00Z,2020-06-18T07:46:00Z,4
24,2020-06-20,za,2020-06-20T11:07:27Z,2020-06-19T07:06:00Z,2020-06-19T22:00:00Z,2020-06-19T23:00:00Z,2020-06-20T09:00:00Z,6
24,2020-06-22,ma,2020-06-22T07:18:35Z,2020-06-21T08:35:00Z,2020-06-21T21:30:00Z,2020-06-21T22:30:00Z,2020-06-22T07:00:00Z,6
26,2020-06-02,di,2020-06-02T08:00:13Z,2020-06-01T07:11:00Z,2020-06-01T21:00:00Z,2020-06-01T22:00:00Z,2020-06-02T07:58:00Z,4
26,2020-06-03,wo,2020-06-03T07:45:26Z,2020-06-02T07:58:00Z,2020-06-02T20:44:00Z,2020-06-02T21:44:00Z,2020-06-03T07:44:00Z,5
26,2020-06-04,do,2020-06-04T07:17:17Z,2020-06-03T07:44:00Z,2020-06-03T21:00:00Z,2020-06-03T22:00:00Z,2020-06-04T07:00:00Z,4
26,2020-06-05,vr,2020-06-05T08:03:54Z,2020-06-04T07:00:00Z,2020-06-04T21:31:00Z,2020-06-04T22:31:00Z,2020-06-05T07:49:00Z,4
26,2020-06-07,zo,2020-06-07T10:35:03Z,2020-06-06T08:57:00Z,2020-06-06T22:30:00Z,2020-06-06T23:30:00Z,2020-06-07T09:30:00Z,4
26,2020-06-08,ma,2020-06-08T07:53:35Z,2020-06-07T09:30:00Z,2020-06-07T21:10:00Z,2020-06-07T22:10:00Z,2020-06-08T07:50:00Z,4
26,2020-06-09,di,2020-06-09T07:26:13Z,2020-06-08T07:50:00Z,2020-06-08T20:46:00Z,2020-06-08T21:46:00Z,2020-06-09T07:25:00Z,4
26,2020-06-10,wo,2020-06-10T07:55:29Z,2020-06-09T07:25:00Z,2020-06-09T20:47:00Z,2020-06-09T21:47:00Z,2020-06-10T07:48:00Z,4
26,2020-06-11,do,2020-06-11T07:48:26Z,2020-06-10T07:48:00Z,2020-06-10T20:45:00Z,2020-06-10T21:45:00Z,2020-06-11T07:45:00Z,4
26,2020-06-12,vr,2020-06-12T07:16:33Z,2020-06-11T07:45:00Z,2020-06-11T20:41:00Z,2020-06-11T21:41:00Z,2020-06-12T06:58:00Z,4
26,2020-06-14,zo,2020-06-14T10:47:00Z,2020-06-13T08:57:00Z,2020-06-13T22:39:00Z,2020-06-13T23:39:00Z,2020-06-14T10:20:00Z,4
26,2020-06-15,ma,2020-06-15T07:48:58Z,2020-06-14T10:20:00Z,2020-06-14T22:00:00Z,2020-06-14T23:00:00Z,2020-06-15T07:45:00Z,4
26,2020-06-16,di,2020-06-16T08:07:57Z,2020-06-15T07:45:00Z,2020-06-15T21:00:00Z,2020-06-15T22:00:00Z,2020-06-16T08:05:00Z,4
26,2020-06-17,wo,2020-06-17T07:16:22Z,2020-06-16T08:05:00Z,2020-06-16T21:00:00Z,2020-06-16T22:00:00Z,2020-06-17T06:54:00Z,4
26,2020-06-18,do,2020-06-18T07:47:38Z,2020-06-17T06:54:00Z,2020-06-17T20:47:00Z,2020-06-17T21:47:00Z,2020-06-18T07:37:00Z,4
26,2020-06-19,vr,2020-06-19T07:31:19Z,2020-06-18T07:37:00Z,2020-06-18T21:00:00Z,2020-06-18T22:00:00Z,2020-06-19T07:27:00Z,4
26,2020-06-21,zo,2020-06-21T11:06:53Z,2020-06-20T08:57:00Z,2020-06-20T23:00:00Z,2020-06-21T00:00:00Z,2020-06-21T09:02:00Z,5
26,2020-06-22,ma,2020-06-22T07:23:09Z,2020-06-21T09:02:00Z,2020-06-21T21:17:00Z,2020-06-21T22:17:00Z,2020-06-22T07:18:00Z,3
30,2020-06-02,di,2020-06-02T07:23:36Z,2020-06-01T07:10:00Z,2020-06-01T21:01:00Z,2020-06-01T22:01:00Z,2020-06-02T07:00:00Z,6
30,2020-06-03,wo,2020-06-03T08:14:00Z,2020-06-02T07:00:00Z,2020-06-02T21:12:00Z,2020-06-02T22:12:00Z,2020-06-03T08:12:00Z,7
30,2020-06-04,do,2020-06-04T07:33:08Z,2020-06-03T08:12:00Z,2020-06-03T21:00:00Z,2020-06-03T22:00:00Z,2020-06-04T07:32:00Z,6
30,2020-06-05,vr,2020-06-05T07:26:10Z,2020-06-04T07:32:00Z,2020-06-04T21:01:00Z,2020-06-04T22:01:00Z,2020-06-05T07:12:00Z,6
30,2020-06-07,zo,2020-06-07T10:54:07Z,2020-06-06T08:33:00Z,2020-06-06T22:45:00Z,2020-06-06T23:45:00Z,2020-06-07T10:53:00Z,7
30,2020-06-08,ma,2020-06-08T08:05:14Z,2020-06-07T10:53:00Z,2020-06-07T22:03:00Z,2020-06-07T23:03:00Z,2020-06-08T08:04:00Z,7
